Name of Unit,Type of Unit,Location,Barangay,Coordinates,Monthly Rental,Internet Availability,Pet-Friendly,Accessible,Furnished,Air Conditioning,Secure Location (Gated/CCTV),Parking,Occupancy Restriction,Payment Policy,Lease / Contract,Link,Notes
1SOLO ROOM,Boarding house,Dumaguete,Bantayan,"9.329639801879502, 123.30503329241597",4000,N/A,N/A,Yes,Yes,N/A,Yes,N/A,Female,"1 month advance, 2 months deposit",6-12 months,"DUMAGUETE CITY HOUSE FOR RENT, BOARDING HOUSE , APARTMENTS, TRANSIENT,HOTEL | 1SOLO ROOM AVAILABLE for FEMALE | Facebook",Allowed to cook and do laundry. No curfew.
Unit 10,Apartment,Dumaguete,Calindagan,"9.298555745031136, 123.30829997213651",20000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",6-12 months,https://www.facebook.com/100013733353516/posts/pfbid026qdoXC6ZvqEwbBp43gMMKAzATgzxXaR34zgFDrGWTVajTYzyx18bsxJVsNHp6DQjl/,"2 Bedrooms, 1 Bathroom."
House4Rent,House for Rent,Dumaguete,N/A,"9.31708841617916, 123.2957205032766",23000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,"1 month advance, 2 months deposit",12 months,https://www.facebook.com/groups/962483824619334/permalink/1901594144041626/,With water tank. 3 Bedrooms (2 rooms with A/C).
Bedspace4Rent,Bed space,Dumaguete,Piapi,"9.31963749303219, 123.30839766649427",3500,Yes,N/A,Yes,Yes,No,N/A,N/A,Co-ed,"1 month advance, 1 month deposit",12 months,Dumaguete Transient Apartment/House | 👉👉👉BEDSPACE FOR RENT | Facebook,"Allowed to cook and do laundry. No curfew. Shared CR & Kitchen. 2 bunk beds in one room. Visitors allowed but no overnight stay. Free wifi, electricity, water."
House4Rent,House for Rent,Dumaguete,N/A,"9.30700918332745, 123.30558610410338",25000,N/A,Yes,No,Yes,Yes,N/A,Yes,Co-ed,"1 month advance, 1 month deposit",12 months,https://www.facebook.com/groups/962483824619334/permalink/1898834324317608/,"2 Bedrooms, 1 Bathroom with hot shower."
BrandNew HOUSE FOR RENT (Semi-Furnished),House for Rent,Sibulan,Tubtubon,"9.349651753819536, 123.28041326464573",10000,N/A,N/A,Yes,Yes,Yes,Yes,N/A,Co-ed,"1 month advance, 1 month deposit",12 months,https://www.facebook.com/100000849588588/posts/pfbid02YQ3u6o2kaf4HZVFjQxLeNTsmhaYXWTZpPc1kzyPcNntq8udQPbpSPxDV1onQkWG7l/, Bungalow type no room partition. 1 toilet and batroom.
B6 - Studio Unit,Apartment,Dumaguete,Buñao,"9.328618952130288, 123.29080774657113",10000,N/A,N/A,Yes,Yes,Yes,Yes,Yes,Co-ed,"1 month advance, 1 month deposit",6-12 months,https://www.facebook.com/100076604544290/posts/pfbid02Hb1GGKCqYV4rPz4p55kJkukJUEp7Yko56Li5pXpHDJ6W3fMP1jhBBQYisfGSc1y3l/,With a personal refrigerator and a rice cooker.
Spacious Room,Apartment,Dumaguete,Daro,"9.316824170237668, 123.30093654907287","9,000-10,000",Yes,N/A,Yes,No,Yes,Yes,N/A,Co-ed,"No advance, 1 month deposit",N/A,https://www.facebook.com/100063914051122/posts/pfbid02SForhQ1DkwWzbezC5wZmCs5R2XF1Czf1Gfn5CDswXJkHzRuGzRQ9rask5JdtDZZbl/,"1 person (9,000). 2 persons (10,000). No curfew"
3 bedroom Apartment for Rent,Apartment,Dumaguete,Bagacay,"9.299464616007134, 123.29342532095615",20000,No,N/A,Yes,No,No,N/A,N/A,Co-ed,"1 month advance, 2 months deposit",12 months,https://www.facebook.com/groups/555377135539267/permalink/1417162096027429/,"3 Bedrooms, 2 Bathrooms."
STUDIO TYPE ROOM FOR RENT!,Apartment,Dumaguete,Bagacay,"9.299464616007134, 123.29342532095615",5500,N/A,No,No,Yes,No,N/A,Yes,Co-ed,"No advance, 1 month deposit",6-12 months,https://www.facebook.com/groups/962483824619334/posts/1902391393961901/?mibextid=rS40aB7S9Ucbxw6v,Good for 2 persons. 120 pesos per head for water. Visitors up to 10pm only. Children are not allowed
ROOM FOR RENT! (Good for 2-3 Persons),Bed space,Dumaguete,Camanjac,"9.325000574283198, 123.27129818084425","2,200-7,000",Yes,N/A,Yes,Yes,No,No,Yes,Co-ed,"1 month advance, 1 month deposit",Accepting long-term/short term or transient minimum 5 days,https://www.facebook.com/groups/962483824619334/posts/1902272893973751/?mibextid=rS40aB7S9Ucbxw6v,"4 persons (2,200).  2-3 persons/whole room (7,000). No curfew, visitors allowed. Allowed to cook and do laundry."
ROOM  FOR RENT,Boarding house,Dumaguete,Banilad,"9.264240224632012, 123.29338219166125","3,000-4,000",Yes,N/A,Yes,Yes,No,N/A,Yes,Co-ed,"1 month advance, 1 month deposit",6-12 months,https://www.facebook.com/groups/962483824619334/posts/1888474165353624/?mibextid=rS40aB7S9Ucbxw6v,"1 person (3,000). 2 persons (4,000).  Allowed to cook and do laundry. No curfew. Visitors allowed."
𝐇𝐨𝐮𝐬𝐞 𝐟𝐨𝐫 𝐑𝐞𝐧𝐭,House for Rent,Dumaguete,Batinguel,"9.319117648269396, 123.28135010697434",20000,No,N/A,No,Yes,Yes,Yes,N/A,Co-ed,N/A,N/A,https://www.facebook.com/RoseBeranio7/posts/%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%9E-%F0%9D%90%9F%F0%9D%90%A8%F0%9D%90%AB-%F0%9D%90%91%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD-rate-php-20k-location-azumi-phase-2-batinguel-dumaguete-cityfeatu/805962782022573/,2 story house with balcony.  With 1KW on-grid solar system (energy-saving!)
